PATENTE,A_FABRICACION,MARCA,MODELO,COLOR,TIPO_VEHICULO
TGTF87,2010,KIA MOTORS,SPORTAGE,BLANCO,29
TGTL22,2011,HYUNDAI,TUCSON 2.0 AUT,BLANCO,29
TGTL24,2014,MAZDA,BIANTE,CAFE MARRON,29
TGTL26,2013,NISSAN,NOTE 1.2 AUT,ROJO BURDEO,2
TLJK62,2020,KIA MOTORS,BONGO III,BLANO MARFIL,6
TLJT68,2015,HYUNDAI,MAXCRUZ 2.2 AUT,AZUL,29
TLJW22,2015,MAZDA,MAZDA2 S MT,ROJO,29
TLJW51,2010,KIA MOTORS,SPORTAGE 2.0 AUT,NEGRO,29
TLJW73,2015,HYUNDAI,I40,BLANCO,2
TTL058,2012,HARLEY-DAVIDSON,FLHX 1700CC,NEGRO,21
VA1266,2002,HYUNDAI,GALLOPER II DE LUXE,VERDE,29
VA1745,2002,FORD,FOCUS GHIA 4DR,GRIS PLATA,2
VB6765,1992,MERCEDES BENZ,1320,AZUL,5
WA8808,2006,MITSUBISHI,L200 DCAB 4X4 GL,ROJO PLATA,6
WC7528,2006,CATERPILLAR,D8T,AMARILLO,17
WL6299,1997,DAIHATSU,TERIOS 4X4 1.3,AZUL,29
WL8204,2002,HYUNDAI,PORTER,AZUL,6
XX7451,2004,CATERPILLAR,962G,AMARILLO,17
ZE3729,2001,FREIGHTLINER,FLC 12064 ST,BLANCO,36
ZF7238,2003,VOLVO,FH 12,VERDE,36
ZG7930,2007,HYUNDAI,ACCENT,BLANCO,2
ABD761,2018,HECHIZO,S/M,NEGRO,9
BA6454,1970,CHEVROLET,CS 31403,BLANCO,5
BJWL91,2019,HYUNDAI,AVANTE,NEGRO AMARILLO,31
BLVP25,2005,VOLVO,FH,BLANCO,36
BPBX22,2000,VOLVO,FH12,VERDE,5
BRGX93,2002,MITSUBISHI,MONTERO XLS,AZUL,29
BRKC53,2005,HYUNDAI,PORTER,BLANCO,6
BSGZ43,2009,HYUNDAI,SANTA FE,BEIGE,29
BTKK79,2005,HYUNDAI,LIBERO,BLANCO GRIS,6
CBCH59,2009,HYUNDAI,I10 GLS,BLANCO CRISTAL,2
CFZZ37,2000,MERCEDES BENZ,1223,BLANCO,5
CGRZ37,1999,TOYOTA,PLATZ,AZUL,2
CHXZ48,2004,HONDA,CIVIC,BLANCO,2
CKLF48,2004,NISSAN,MARCH,VERDE,2
CTZC78,1998,NISSAN,R NESSA,PLATEADO,29
CVLS54,2002,HYUNDAI,SANTA FE 4X2,CAFE,29
CYSX14,2004,HYUNDAI,STAREX,BLANCO,12
CYSZ44,2000,HYUNDAI,GALLOPER 4X4,GRIS,29
DBCZ31,2005,MAZDA,MPV,GRIS,29
DBZX16,2003,HYUNDAI,LAVITA,NEGRO,29
DCYG28,2005,JEEP,GRAND CHEROKEE,PLATEADO,29
DDJJ30,2000,HYUNDAI,PORTER,AZUL,6
DLSV91,2005,HYUNDAI,PORTER,BLANCO,6
DRGW97,2012,TOYOTA,RAV4,ROJO MICA,29
DTPJ74,2012,HYUNDAI,NEW TUCSON,BLANCO,29
DVRJ99,2012,HYUNDAI,ACCENT 1.6,PLATEADO,2
DXKD14,2012,RENAULT,DUSTER 2.0,CAFE BRONCE,29
DYPP70,2003,HONDA,FIT,ROJO,29
DZKS96,2003,MAZDA,DEMIO,ROJO,29
DZKT52,2009,KIA MOTORS,PRIDE,BLANCO,2
EB3756,1978,CHEVROLET,C-10,VERDL/BLANCO,6
FCSY59,2005,MAZDA,AXELA,AMARILLO,29
FCTT79,2004,VOLVO,FH 12,BLANCO,36
FHJ063,1999,HARLEY-DAVIDSON,DYNA,AZUL,21
FKZY16,2002,MAZDA,DEMIO,AZUL,29
FLBC45,2001,TOYOTA,VITZ,GRIS,2
FPPJ92,2002,HONDA,FIT 1.3 UT,AZUL,29
FPPK48,2002,HONDA,MOBILIO,PLATEADO,29
FPXS59,2008,HYUNDAI,NEW SANTA FE,PLATEADO,29
FSST21,2005,HONDA,FIT 1.5 AUT,BLANCO,29
FTSV19,2006,TOYOTA,PROBOX,BLANCO,29
FXBV57,2001,TOYOTA,DYNA,AMARILLO NEGRO,5
GDRT56,2014,TOYOTA,RAV 4,GRIS OSCURO MET,29
GGKC27,2004,HONDA,FIT 1.3 AUT,PLATEADO,29
GHSJ70,2005,NISSAN,NOTE,PLATEADO,29
GHWC87,2011,KIA MOTORS,SPORTAGE,PLATEADO,29
GKBF64,1999,TOYOTA,CAMI,BLANCO,29
GLHR22,2004,MAZDA,VERISA 1.5 AUT,ROJO BURDEO,29
GLKT85,2005,HYUNDAI,TUCSON 2.0,BLANCO,29
GPWV59,2013,KIA MOTORS,K5,PLATEADO,2
GPYY97,2010,KIA MOTORS,LOTZE,BLANCO,2
GRKG20,2005,HONDA,FIT,GRIS,29
GRKX21,2005,HONDA,FIT,AZUL,29
GXZK47,2005,SUZUKI,SWIFT 1.3 AUT,GRIS,2
HA2189,1972,CITROEN,AX-330,BEIGE,2
HCSF17,1992,VOLVO,FL6,BLANCO,5
HCSG45,2008,VOLVO,FH12,BLANCO,36
HCSK99,2005,HONDA,EDIX 1.7 AUT,GRIS,29
HFGH90,2010,HYUNDAI,SONATA,NEGRO,2
HFGS31,2000,BMW,320,PLATEADO,2
HFHK83,2015,SUZUKI,GRAND VITARA GLX,NEGRO,29
HGJP20,2021,TREMAC,SR TOLVA HALF ROUND,VERDE,28
HKTD88,2004,SUZUKI,SWIFT 1.5,PLATEADO,29
HLDW89,2005,HYUNDAI,TIBURON,GRIS,2
HPYL28,2004,HYUNDAI,PORTER,BLANCO,6
HPYL38,2008,CHEVROLET,CAPTIVA,BLANCO,29
HSZP28,2006,TOYOTA,NOAH,NEGRO,29
HSZP70,2002,KIA MOTORS,SORENTO,PLATEADO,29
HSZP76,2004,HYUNDAI,COUNTY,BLANCO,3
HXWG12,2006,KIA MOTORS,SPORTAGE,PLATEADO GRIS,29
JD2460,2001,TRAYERS,S/M,GRIS,28
JDGF58,2005,HYUNDAI,SANTA FE 2.0 AUT,BLANCO,29
JDGH52,2010,FORD,RANGER,BLANCO,6
JDGL82,2003,HYUNDAI,PORTER D CABINA,AZUL,6
JDGS40,2012,FORD,FOCUS SEL 2.0 AUT,BLANCO,2
JG9081,2005,TRANDERS,SN,ROJO,28
JH7866,2010,TRANDERS,SN 24,ROJO,28
JHLB65,2005,KIA MOTORS,SORENTO,BLANCO,29
JHLD58,2014,DODGE,CHARGER,BLANCO,2
JHPP35,2013,HYUNDAI,VELOSTER,NEGRO,2
JJ9366,2009,GOREN,SR 13.5 REAC,BLANCO,28
JKYB70,2005,MAZDA,VERISA,VIOLETA MORADO,29
JKYC91,2005,HYUNDAI,TUCSON,PLATEADO GRIS,29
JPXG59,2006,MAZDA,3SP,NEGRO,2
JPXL60,2006,HYUNDAI,TUCSON,GRIS,29
JPXR92,2005,KIA MOTORS,SPORTAGE,BLANCO,29
JSVJ15,2017,MAZDA,BT50 4X4,AZUL PETROLEO,6
JSVR37,2013,NISSAN,JUKE 1.6 AUT,AZUL,29
JTRZ85,2017,SUZUKI,BALENO GLX HB 1.4 AUT,GRIS GRAFITO,2
JYHK19,2003,HYUNDAI,SANTA FE 2.02 AUT,BLANCO,29
KBLK10,2005,HYUNDAI,TUCSON,PLATEADO,29
KGJS28,2008,NISSAN,DUALIS 2.0 AUT,PLATEADO,29
KGJS54,2012,MAZDA,DEMIO,BLANCO,2
KGKD83,2018,HYUNDAI,ALL NEW TUCSON,GRIS,29
KGSF80,2018,CHEVROLET,SPARK GT LT,BLANCO,2
KHVS11,2014,HYUNDAI,TUCSON 2.0 AUT,PLATEADO,29
KJRP89,2011,SUZUKI,SWIFT,PLATEADO,2
KJTW88,2013,MERCEDES BENZ,ML 350 BLUETIC,AZUL,29
KJVD52,2009,NISSAN,TIIDA,BLANCO PERLA,29
KJVF33,2009,NISSAN,DUALIS,NEGRO,29
KKY054,2021,HONDA,CRF 1100A,NEGRO MATE,21
KLSG40,2018,BAIC,X35,BLANCO,29
KN0800,1994,HONDA,SHADOW,NEGRO,21
KPHY87,2009,HONDA,FIT,AZUL,29
KRSD34,2012,HYUNDAI,TUCSON,GRIS,29
KSYL53,2010,TOYOTA,RUSH,BLANCO PERLA,29
KSYX56,2011,HONDA,FIT,BLANCO,29
KSZC16,2019,MAZDA,MAZDA3,BLANCO PERLA,2
KSZF33,2014,FORD,FOCUS,BLANCO,2
KWVV65,2008,HONDA,STREAM,GRIS,29
KWVX99,2006,MAZDA,DEMIO,GRIS,29
KWWL80,2019,MAZDA,NEW BT-50 DC 3.2 AUT,GRIS TITANIO,6
KWXF34,2019,FORD,F-150 LIMITED,BLANCO METAL,6
LBDZ50,2010,TOYOTA,VITZ 1.3,PLATEADO,29
LBFF99,2004,KIA MOTORS,SORENTO,GRIS,29
LDTS42,2014,HYUNDAI,PORTER II,BLANCO,6
LDTS56,2019,HYUNDAI,TUCSON TL,PLATEADO,29
LFXB40,2011,MAZDA,DEMIO 1.3 AUT,AZUL,2
LHKT72,2010,MAZDA,MPV,BLANCO,29
LHKZ14,2012,MAZDA,DEMIO 1.3 AUT,GRIS,2
LHLC73,2008,MERCEDES BENZ,ATEGO 1218 4X2,BLANCO,5
LHLC79,2014,HYUNDAI,AVANTE,GRIS,2
LJWT37,2019,NISSAN,ROGUE,GRIS,29
LJWV27,2012,HONDA,FIT,NEGRO,2
LKVS60,2019,FORD,RANGER,GRIS MERCURI,6
LKYL38,2009,BMW,116,PLATEADO,29
LLJP24,2019,ZX,TERRALORD DCAB LUX PLUS 4X4,PLATEADO PLATA,6
LPVS26,2017,JEEP,CHEROKEE,BLANCO,29
LPWG28,2020,HYUNDAI,SANTA FE,GRIS GRAFITO,29
LRTV19,2012,NISSAN,NOTE,BLANCO PERLA,29
LSWH60,2010,NISSAN,TIIDA,AZUL,29
LSWV81,2004,VOLVO,FM,BLANCO,5
LVSC36,2002,HYUNDAI,PORTER II,BLANCO,6
LVSC98,2005,KIA MOTORS,SPORTAGE,BLANCO,29
LVSD39,1999,VOLVO,FM 12,BLANCO,5
LVSH77,2013,NISSAN,NOTE,ROJO,29
LVST33,2014,MAZDA,DEMIO 1.3 AUT,BLANCO,2
LYDF49,2020,VOLKSWAGEN,TIGUAN TDI AT LIMITED 4M 150HP,BLANCO PERLA,30
LYKC44,2014,NISSAN,XTRAIL 2000,BLANCO PERLA,29
LYKK68,2012,MAZDA,DEMIO,GRIS,2
LYKL30,2011,NISSAN,NOTE,PLATEADO,29
LYRZ99,2020,BRILLIANCE,KONECT,GRIS BRONCE,29
NR7922,1996,MERCEDES BENZ,OF 1318 51,VERDE LIMON ROJ,10
PBSF55,2006,DAIHATSU,TERIOS KID,BLANCO,29
PBSK82,2012,MAZDA,DEMIO,PLATEADO,29
PBSP20,2013,KIA MOTORS,FRONTIER PUP 2.5 CRDI MEC,BLANCO,6
PBSX41,2008,VOLKSWAGEN,JETTA 2.0 AUT,PLATEADO,2
PFPR13,2013,HONDA,FIT 1.3 AUT,ROJO,29
PFPS82,2013,HONDA,FIT,BLANCO PERLA,2
PFPY13,2012,HONDA,FIT,PLATEADO,29
PGCT67,2009,NISSAN,DUALIS,GRIS,29
PHBC75,2012,MAZDA,DEMIO,CELESTE CALIPSO,2
PHBF53,2008,NISSAN,TIIDA,NEGRO,29
PKKT49,2007,CHEVROLET,CAPTIVA,GRIS,29
PKSB25,2020,TOYOTA,HI LUX DCAB 4X4,ROJO METALICO,6
PLSR37,2012,HONDA,FIT 1.3 AUT,AZUL,29
PPTX89,2007,KIA MOTORS,SPORTAGE 2.0 AUT,PLATEADO,29
PRZS75,2015,MAZDA,DEMIO,AZUL,2
PRZV15,2009,MAZDA,DEMIO,ROJO,29
PSKC26,2007,HYUNDAI,SANTA FE 2.2 AUT,PLATEADO,29
PSRZ18,2012,MAZDA,DEMIO 1.3 AUT,BLANCO,29
PSVY98,2016,FORD,EXPLORER 3.5 AUT,ROJO BURDEO,29
PSYL54,2011,MAZDA,AXELA 1.5 AUT,AZUL,2
PTCC28,2019,JEEP,CHEROKEE,BLANCO,29
PTCG54,2017,HYUNDAI,SANTA FE,BLANCO,29
PWC076,2017,SUZUKI,GSXR600,AZUL,21
PXVX34,2018,DODGE,CHALLENGER,BLANCO,2
PYTL99,2008,NISSAN,XTRAIL,NEGRO,29
PYTP94,2011,MAZDA,VERISA,PLATEADO,29
PZHY49,2021,TOYOTA,FORTUNER,BLANCO PERLADO,29
RBKH49,2007,KIA MOTORS,SORENTO 2.5 AUT,BLANCO,29
RBZS55,2017,HYUNDAI,ACCENT,NEGRO,29
RCGY38,2016,HONDA,FIT 1.5 AUT,GRIS PLOMO,29
RCXY27,2009,HYUNDAI,TUCSON,PLATEADO,29
RCXZ83,2007,KIA MOTORS,SORENTO,NEGRO,29
RCYC84,2012,SUZUKI,SWIFT,NEGRO,2
RDVB75,2005,HYUNDAI,TUCSON 4X4 2.0,PLATEADO,29
RDVD95,2013,CHEVROLET,ORLANDO,BLANCO,29
RFDF53,2012,MAZDA,DEMIO,VERDE,2
RGVV32,2005,KIA MOTORS,SPORTAGE,BLANCO,29
RHKW50,2010,KIA MOTORS,SORENTO 2.0 AUT,PLATEADO,29
RHXK25,2010,NISSAN,JUKE,GRIS,29
RJFS19,2013,SSANGYONG,KORANDO 4X4 2.0,GRIS GRAFITO,29
RKBC84,2013,HYUNDAI,I30,BLANCO,2
RKBD70,2017,FORD,EXPLORER 3.5 AUT,PLATEADO,29
RLPG27,2005,KIA MOTORS,SPORTAGE 2.0 AUT,PLATEADO,29
RPHF28,2012,MAZDA,DEMIO,CELESTE,29
RRS080,2016,KAWASAKI,ZX636-E,ROJO BLANCO,21
RSCD40,2019,VOLVO,FH,BLANCO,36
RSCF88,2013,HONDA,FIT,PLATEADO,29
RSXD33,2010,MAZDA,DEMIO,BLANCO PERLA,2
RSXF46,2022,CHEVROLET,N400 MAX MT AC,BLANCO,12
RTCH98,2022,GEELY,COOLRAY,PLATEADO PLATA,29
RTRS54,2011,HONDA,FIT,VIOLETA MORADO,29
RVFT64,2001,TOYOTA,DYNA 4.6,BLANCO,5
RVFV49,2011,HONDA,FIT,NARANJO ANARANJ,29
RVFW94,2006,HYUNDAI,PORTER 2.5,AZUL,6
RVGZ14,2014,VOLVO,FH,BLANCO,36
RVJJ48,2011,MAZDA,DEMIO,AMARILLO MOSTAZ,2
RYKC95,2010,SSANGYONG,ACTYON SPORT,BLANCO,6
SCCG82,2011,HYUNDAI,TUCSON 2.0 AUT,BLANCO,29
SCZB49,2004,HYUNDAI,TERRACAN 2.9 GL LE CRDI,BLANCO,29
SDLC97,2019,HYUNDAI,SANTA FE,GRIS,29
SDLD53,2012,MAZDA,DEMIO,CELESTE,2
SDZL12,2010,HONDA,FIT 1.5 AUT,GRIS,2
SFDH39,2023,EXEED BORN FOR MORE,TXL UNLIMITED 2.0 AUT,GRIS PHANTOM,29
SFWJ54,2023,TOYOTA,NEW HILUX,ROJO METALICO,6
SJHH16,2010,MAZDA,DEMIO 1.5,GRIS PLOMO,2
SKFB86,2014,MAZDA,DEMIO,AZUL,2
SKFC48,2023,GREAT WALL,POER TD ELITE,AZUL,6
SKFD67,2013,HONDA,FIT,NEGRO,2
SKFF93,2012,MAZDA,BIANTE 2.0 AUT,ROJO BURDEO,29
SKY269,2022,FOREST RIVER,WILDWOOD X-LITE 240 BHXL,BLANCO,9
SLBD52,2023,HAVAL,HAVAL DARGO,AZUL PIEDRA,29
SSTR49,2012,KIA MOTORS,SPORTAGE,GRIS,29
SVKH48,2023,DAF,XF480 FTS SC E6,BLANCO,36
SVSR18,2015,CHEVROLET,CAPTIVA 2.0 AUT,BLANCO,29
SVSS94,2006,FIAT,DUCATO 2.8,BLANCO,10
SWFX35,2013,NISSAN,NOTE,PLATEADO,2
SWZT72,2018,CHEVROLET,TRAVERSE,PLATEADO,29
SXJF94,2011,HYUNDAI,TUCSON IX,PLATEADO,29
SYKL21,2013,SSANGYONG,KORANDO,NEGRO,29
SYKR21,2024,CHANGAN,CS35 PLUS LTS 5P T/M LUXURY MT,PLATEADO PLATA,29
SYKR54,2012,SUZUKI,SWIFT,NEGRO,2
SYPB61,2011,KIA MOTORS,SPORTAGE,BLANCO,29
SYPD63,2018,HYUNDAI,SANTA FE,GRIS,29
SYPH67,2014,FORD,EXPLORER 2.0 AUT,NEGRO,29
TDGK72,2012,MAZDA,PREMACY,PLATEADO,29
TDGW61,2014,NISSAN,NOTE,BLACO PERLA,2
TDHB44,2014,HYUNDAI,I30,AZUL,2
TDHB74,2014,HONDA,FIT,AZUL,29
TDHB94,2014,HONDA,FIT 1.5,BLANCO,29
TDHF81,2012,KIA MOTORS,SORENTO,BLANCO,29
TDJL51,2024,HYUNDAI,TUCSON NX4,BLANCO PERLA,29
TGKK38,2009,HYUNDAI,MIGHTY,BLANCO,5
TGSX47,2013,MAZDA,DEMIO,CAFE MARRON,2
TGSX61,2007,KIA MOTORS,SPORTAGE,AZUL,29
TGSX90,2012,HONDA,FIT,NEGRO,2
TGTF58,2017,MAZDA,CX5,GRIS,29
TGTF67,2012,TOYOTA,VOXY 2.0 AUT,PLATEADO,29
TGTF96,2017,NISSAN,NOTE,ROJO BURDEO,29
TGTF97,2016,MAZDA,DEMIO,ROJO,2
TGTL16,2006,HINO,DUTRO 4.0 AUT,AZUL,5
TGTL17,2024,JAC,EJS1 30 KWH 30KWH,BLANCO,2
TGTL18,2024,SUZUKI,NEW GRAND VITARA GLX,AZUL MARINO,29
TGTL19,2024,MAZDA,CX-30 V 2.0 2WD 6AT 7G,ROJO CRISTAL,29
TGTL20,2024,MAZDA,CX30 V 2.0 2WD 6AT 7G,GRIS METALICO,29
TGTL23,2010,TOYOTA,IQ,NEGRO,29
TGTL25,2013,SUZUKI,SPLASH,VERDE,29
TGTL29,2024,JAC,JS2 CVT LUXURY,BLANCO,2
TGTL30,2024,JAC,JS2 CONFORT SMART,PLATEADO PLATA,2
TGTL38,2016,NISSAN,NOTE ADVANCE CVT,PLATEADO,29
TGTL39,2013,HONDA,FIT LX 1.3 AUT,ROJO,15
TGTL52,2013,MAZDA,DEMIO 1.3 AUT,PLATEADO,2
TGYF33,2024,MAN,TGM,ROJO,8
TLJT89,2015,HYUNDAI,SANTA FE,AZUL,29
VL4080,1996,HYUNDAI,PORTER 2.5,CELESTE,6
VU8906,1995,HONDA,INTEGRA 1.6,ROJO,2
WKD068,2019,ROYAL ENFIELD,INT650,NARANJO NARANJA,21
WKD083,2024,AIDA,AD150T 108,BLANCO BLANCA,21
WL2136,1997,NISSAN,MISTRAL AUT.,VERDE DORADO,29
WL2826,2007,TOYOTA,YARIS SEDAN,AZUL OSCURO MIC,2
WN1316,1999,HYUNDAI,PORTER DOB CAB,BLANCO,6
WV4539,2007,XCMG,ZL50G,AMARILLO,17
XS9911,1993,NISSAN,TERRANO,PLATEADO,16
XXZ042,2023,WANGYE,WY150T 3,NEGRO,21
YE0573,2002,KAWASAKI,VULCAN 800,NEGRO,21
ZY6516,2007,TOYOTA,COROLLA XLI 1.6,GRIS,2
ZZ6246,2002,VOLVO,FH 12,AZUL,36
ZZ9348,1999,HYUNDAI,PORTER,AZUL,6
ABC955,2014,HECHIZO,HECHIZO,ROJO,9
BCYT54,2017,HYUNDAI,ACCENT RB GL 6MT 2AB AC,AZUL,34
BFSZ82,1996,BMW,Z3,ROJO,2
BJLK10,2010,HYUNDAI,ACCENT MC,NEGRO BURDEO,2
BJVL75,2014,HYUNDAI,ACCENT,NEGRO AMARILLO,31
BRKB67,2009,HYUNDAI,SANTA FE 2.7 GLS 4WD AT,PLATEADO,29
CBBZ66,2002,KENWORTH,T 2000,ROJO,36
CCBB44,1997,HONDA,CIVIC,PLATEADO,2
CGDL86,2007,MERCEDES BENZ,ML 350 4X4,PLATEADO PLATA,29
CGRV24,1999,HYUNDAI,PORTER,BLANCO,6
CGSH96,2002,SUBARU,IMPREZA 2.5 AUT,GRIS PLOMO,2
CHYR20,1995,SUBARU,IMPREZA,BLANCO,2
CKSS29,2005,FORD,FREESTYLE,PLATEADO,29
CPKF36,1996,NISSAN,TERRANO,NEGRO,29
CPKT64,2010,HYUNDAI,NEW TUCSON,PLATEADO,29
CSPJ64,2005,SUZUKI,SWIFT,GRIS,29
CTZD72,1997,HYUNDAI,GALLOPER,PLATEADO GRIS,29
CWTY10,1999,HONDA,INTEGRA 1.5,PLATEADO,2
CYSX12,2005,TOYOTA,VITZ,PLATEADO PLATA,2
DHCG63,2012,MAZDA,CX9 GT AWD AT4,NEGRO,29
DPWW61,2007,SUZUKI,FORENZA,DORADO,2
DTPG51,2004,KIA MOTORS,SORENTO EX 2.5 AT AC 4X4,PLATEADO GRIS,29
DZCG98,2002,HYUNDAI,STAREX,BLANCO,29
FCSX20,2003,KIA MOTORS,SORENTO,PLATEADO GRIS,29
FCSY27,2004,MAZDA,RX8,NEGRO,2
FGSW95,1999,TOYOTA,CAMI,GRIS PLOMO,29
FGTJ90,1999,MITSUBISHI,PAJERO,PLATEADO,16
FGTP19,2003,MITSUBISHI,COLT,BLANCO,29
FJTW24,2006,MITSUBISHI,D L200,GRIS METALICO,6
FKVG42,2006,NISSAN,BLUEBIRD 2.0 AUT,PLATEADO,2
FPPG50,2003,HONDA,FIT,GRIS,29
FSSL10,2004,HYUNDAI,TUCSON,VERDE,29
FVPV43,2008,FORD,EDGE 4X4,NARANJO,29
FYFD10,2005,HYUNDAI,PORTER II,AZUL,6
FZBL46,2002,HYUNDAI,SANTA FE 2.0,NEGRO GRIS,29
FZLC72,2006,SSANGYONG,ACTYON,PLATEADO,29
GJHW35,2008,MAZDA,VERISA,AZUL,2
GLHK42,2000,MITSUBISHI,PAJERO 4X4 3.2 AUTOM.,PLATEADO,29
GVRT36,2007,SUZUKI,SWIFT,PLATEADO,2
GZZL30,2007,HYUNDAI,TUCSON,GRIS,29
HCSL62,2011,KIA MOTORS,SPORTAGE 2.0,PLATEADO,29
HFGH43,2005,HYUNDAI,SANTA FE,GRIS,29
HFGH80,2008,BMW,X3,GRIS,29
HJDR33,1991,MAZDA,TITAN,AZUL,5
HJDS14,2008,MAZDA,DEMIO,BLANCO,2
HJDV42,2015,CHEVROLET,SAIL E5 NB,PLATEADO PLATA,2
HSZW70,2016,HYUNDAI,VELOSTER,GRIS GRAFITO,2
HVTY59,2012,NISSAN,VERSA,GRIS,29
HXWF54,2007,CHEVROLET,CAPTIVA,PLATEADO PLATA,29
HXWG91,2010,MAZDA,CX9,VERDE,29
HXWL63,2008,MAZDA,DEMIO,CELESTE,2
HZXP22,2018,SSANGYONG,ACTYON,BLANCO,6
JBGS63,2005,HONDA,EDIX 2.0 AUT,NEGRO,29
JDGL46,2005,BMW,320,NEGRO,2
JDGL49,2007,HONDA,STREAM,AZUL,29
JDHD99,2008,SUZUKI,SWIFT,GRIS,2
JFXD28,1997,JEEP,WRANGLER,GRIS,29
JFXF54,2008,NISSAN,UK DUALIS 2.0 AUT,BEIGE,29
JFXG34,2005,VOLVO,FH 12,BLANCO,5
JFXP26,2003,MINI,COOPER,AMARILLO,29
JFXT85,2005,KIA MOTORS,SPORTAGE,PLATEADO,29
JHKR27,2011,JEEP,PATRIOT,GRIS,29
JHKX13,2007,MAZDA,MPV 2.3 AUT,ROJO BURDEO,29
JHRG47,2005,HYUNDAI,TUCSON,BLANCO GRIS,29
JHRR12,2017,HYUNDAI,GRAND I-10 1.2,ROJO,2
JLVD92,2006,KIA MOTORS,SPORTAGE 2.0 AUT,PLATEADO PLATA,29
JPXL59,2005,KIA MOTORS,SPORTAGE,AZUL,29
JPXR59,2004,KIA MOTORS,XTREK,BLANCO PERLA,29
JPXR75,2006,MITSUBISHI,COLT PLUS,BLANCO PERLA,29
JSVR14,2001,HONDA,CRV,PLATTEADO,29
JSVR36,2007,HONDA,FIT,GRIS,2
JVZS54,2008,SUBARU,IMPRESA,BLANCO,29
JWBB41,2018,HYUNDAI,TUCSON,BLANCO,29
JWBK63,2015,FORD,FOCUS,PLATEADO,2
JWBK79,2010,MAZDA,AXELA 2.0 AUT,NEGRO,2
JYSX13,2005,KIA MOTORS,SPORTAGE,PLATEADO,29
JYSY11,2011,KIA MOTORS,SPORTAGE,GRIS,29
KBLH92,2007,AUDI,A42.0 AUT,BLANCO,2
KCSF99,2009,MAZDA,DEMIO,ROJO,2
KCSK67,2007,NISSAN,TIIDA,ROJO,2
KGJY63,2006,SUZUKI,SWIFT,AMARILLO,2
KGKT88,2017,HYUNDAI,H1 CRDI GL 2.5,AMARILLO,12
KGWR41,2000,VOLVO,VNL64T,CELESTE,36
KGWR92,2005,KIA MOTORS,SPORTAGE,GRIS,29
KGWW18,2002,NISSAN,FAIRLADY Z,BLANCO PERLA,2
KJRP67,2010,MAZDA,DEMIO,GRIS PLOMO,2
KJRT35,2007,HYUNDAI,TUCSON,BLANCO,29
KJVL27,2009,NISSAN,NOTE,BLANCO PERLA,29
KKZZ25,2010,MAZDA,DEMIO 1.3 AUT,GRIS,2
KPHR72,2007,HYUNDAI,PORTER II,BLANCO,6
KSYS80,2017,CHEVROLET,TRAX,AZUL,29
KSYT39,2003,HYUNDAI,PORTER,AZUL,6
KSYY93,2008,MAZDA,MPV,NEGRO,29
KWJK83,2019,PEUGEOT,NUEVO 3008 ALLURE,ROJO ULTIMATE,29
KXGT34,2009,HYUNDAI,TUCSON 2.0 AUT,NEGRO,29
KYCY72,2005,HYUNDAI,TUCSON,VERDE,29
KYDG56,2016,HYUNDAI,ACCENT,BLANCO,2
KYDJ90,2006,HYUNDAI,SANTA FE,PLATEADO,29
KYDL38,2009,MAZDA,DEMIO,GRIS,2
LBDZ29,2008,SUZUKI,SWIFT,NEGRO,2
LBFG83,2007,NISSAN,DUALIS,NARANJO,29
LDTL35,2010,MAZDA,DEMIO 1.3 AUT,GRIS,2
LDTS99,2019,HYUNDAI,TUCSON,BLANCO,29
LDTT15,2010,NISSAN,NOTE,ROJO BURDEO,29
LDTV29,2010,HONDA,FIT,AZUL,2
LFWT64,2006,SSANGYONG,ACTYON 2.0 AUT,BLANCO,29
LFWV68,2019,MAZDA,NEW CX3,ROJO,29
LFWW55,2011,NISSAN,NOTE,GRIS PLOMO,29
LGXF12,2016,JEEP,CHEROKEE,BLANCO,29
LHLC18,2010,MAZDA,DEMIO,ROJO,2
LKYF21,2010,HONDA,FIT 1.3 AUT,BLANCO,29
LKYT70,2008,KIA MOTORS,SORENTO 4X4,NEGRO,29
LPVT53,2010,HYUNDAI,TUCSON,BLANCO,29
LPWB36,2012,MAZDA,DEMIO,CELESTE,29
LSWG61,2013,HONDA,FIT,NEGRO,29
LSWL52,2013,HONDA,FIT 1.3 AUT,PLATEADO,29
LVRY77,2012,HONDA,FIT,NEGRO,29
LVRZ91,2010,KIA MOTORS,SPORTAGE,NEGRO,29
LVSH26,2017,HYUNDAI,AVANTE 0,BLANCO,2
LVSR40,2007,CHEVROLET,CAPTIVA,BLANCO,29
LVTK50,2020,CHEVROLET,TRAVERSE,PLATEADO OSCUR,29
LYKR24,2012,HONDA,FIT,NEGRO,29
LYKR85,2006,MERCEDES BENZ,ATEGO,ROJO,5
LYKW64,2009,HONDA,INSIGHT,PLATEADO,2
PBRZ99,2016,FORD,EXPLORER 3.5 AUT,CAFE MARRON,29
PBSB76,2012,HONDA,FIT 1.3 AUT,NEGRO,29
PBSP92,2019,HYUNDAI,PORTER 2.5,BLANCO,6
PBVV74,2020,HYUNDAI,TUCSON TL 2.0 AT VALUE FL,ROJO,29
PBVY85,2010,HYUNDAI,I30,BLANCO,2
PCPY15,2009,HYUNDAI,SANTA FE 2.0 AUT,BLANCO,29
PCPY89,2017,HYUNDAI,ACCENT 1.6 AUT,PLATEADO PLATA,2
